video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/v6a6vCeOcZE,/@ByronWilliamsTRB,The Relationship Bodyguard,Gentrification Signs: What to Watch For in YOUR Neighborhood,1.1K,6 months,"We discuss the telltale signs of gentrification, from bicycle lanes to an increase in affluent residents. Our observations reveal ...",2026-01-21 23:46:10.880503
/watch?v=PEf7NjfkHBU&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@NickJohnson,Nick Johnson,Gentrification Is Saving America,91K,5 years,Why is gentrification so controversial? We'll talk about the pros and cons of gentrification and which cities have been gentrified the ...,2026-01-21 23:46:10.885123
/watch?v=cEsC5hNfPU4&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@Vox,Vox,"In defense of the ""gentrification building""",1.9M,3 years,How new buildings can actually fight displacement Subscribe and turn on notifications so you don't miss any videos: ...,2026-01-21 23:46:10.886890
/watch?v=M5PiTCwoQRo&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@TED,TED,What if gentrification was about healing communities instead of displacing them? | Liz Ogbu,86K,7 years,Liz Ogbu is an architect who works on spatial justice: the idea that justice has a geography and that the equitable distribution of ...,2026-01-21 23:46:10.888056
/watch?v=n11rdWqc444&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@shortcutdocumentaries,Shortcut Documentaries,America's Gentrification Problem [Documentary],33K,4 years,... boom it encourages the gentrification of their neighborhoods It is important to understand what gentrification is in order to avoid ...,2026-01-21 23:46:10.890500
/watch?v=OFKJ45J-LMg&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@cityfieldscdc4958,City Fields CDC,What is Gentrification,59K,7 years,Cultivating overlooked places. Learn more at http://www.cityfieldscdc.com.,2026-01-21 23:46:10.893037
/shorts/0LbiYS6Ir54,/@YahooFinance,Yahoo Finance,How gentrification starts: Expert explains #shorts,2.7K,1 year,Urban revitalization strategist explains how gentrification starts #shorts #yahoofinance #finance #news #youtubeshorts #youtube ...,2026-01-21 23:46:10.896077
/shorts/Yb4It1SekCE,/@askacop,Ask A Cop Live,Gentrification Explained: How It Displaces Communities,1.3K,8 months,"We discuss gentrification, how it renovates older areas, attracts new residents, increases property values, and ultimately displaces ...",2026-01-21 23:46:10.897438
/shorts/bJbCk8wcmak,/@RoganClips.635,RoganClips,Exploring the impact of gentrification in urban areas 🌆💰,3.1K,1 year,"Discover how property investment can reshape communities, driving up housing prices and transforming neighborhoods.",2026-01-21 23:46:10.901207
/shorts/75xzr4mftxI,/@TheKillianGroup,The Killian Group,What Gentrification Looks Like!,9.9K,3 years,"A prime example of gentrification in Dallas, Texas! Austin Killian (Texas Real Estate Agent) ...",2026-01-21 23:46:10.903279
